iter	Passed	Remaining
0	59	59204
1	59	29764
2	60	19941
3	60	15026
4	60	12078
5	61	10110
6	61	8704
7	61	7648
8	62	6827
9	62	6173
10	62	5637
11	63	5190
12	63	4815
13	63	4491
14	64	4210
15	64	3963
16	64	3745
17	65	3552
18	65	3379
19	65	3223
20	66	3086
21	66	2962
22	66	2845
23	67	2738
24	67	2640
25	68	2547
26	68	2462
27	68	2384
28	69	2310
29	69	2241
30	69	2178
31	70	2118
32	70	2060
33	70	2006
34	70	1956
35	71	1908
36	71	1863
37	71	1819
38	72	1778
39	72	1739
40	72	1702
41	73	1667
42	73	1634
43	73	1602
44	74	1572
45	74	1543
46	74	1515
47	75	1488
48	75	1461
49	75	1438
50	76	1414
51	76	1391
52	76	1369
53	76	1347
54	77	1326
55	77	1308
56	77	1289
57	78	1271
58	78	1252
59	78	1235
60	79	1218
61	79	1202
62	79	1186
63	80	1170
64	80	1155
65	80	1140
66	80	1126
67	81	1111
68	81	1098
69	81	1085
70	82	1072
71	82	1060
72	82	1049
73	82	1037
74	83	1034
75	84	1023
76	84	1012
77	84	1002
78	85	991
79	85	981
80	85	970
81	85	960
82	86	951
83	86	941
84	86	931
85	86	922
86	86	912
87	87	903
88	87	895
89	87	887
90	88	879
91	88	872
92	88	865
93	89	857
94	89	850
95	89	843
96	89	836
97	90	829
98	90	822
99	90	815
100	91	810
101	91	802
102	91	796
103	91	789
104	91	783
105	92	777
106	92	772
107	92	766
108	93	761
109	93	755
110	93	750
111	94	745
112	94	740
113	94	734
114	94	729
115	95	724
116	95	719
117	95	714
118	95	709
119	96	705
120	96	701
121	96	696
122	96	690
123	97	685
124	97	681
125	97	677
126	97	673
127	98	668
128	98	664
129	98	660
130	98	656
131	99	652
132	99	648
133	99	644
134	100	641
135	100	637
136	100	633
137	100	629
138	101	626
139	101	622
140	101	619
141	101	616
142	102	613
143	102	609
144	102	606
145	103	603
146	103	600
147	103	597
148	104	594
149	104	591
150	104	588
151	104	585
152	105	581
153	105	578
154	105	576
155	105	573
156	106	570
157	106	568
158	106	565
159	107	562
160	107	559
161	107	556
162	107	554
163	108	551
164	108	548
165	108	545
166	108	543
167	109	541
168	109	538
169	109	536
170	110	533
171	110	531
172	110	528
173	110	526
174	111	523
175	111	521
176	112	521
177	112	519
178	112	517
179	113	515
180	113	512
181	113	510
182	113	507
183	114	505
184	114	503
185	114	501
186	114	499
187	115	497
188	115	495
189	115	493
190	116	491
191	116	489
192	116	487
193	116	485
194	117	483
195	117	481
196	117	479
197	117	477
198	118	475
199	118	473
200	118	471
201	118	470
202	119	468
203	119	466
204	119	464
205	120	462
206	120	460
207	120	459
208	120	457
209	121	455
210	121	453
211	121	452
212	121	450
213	122	448
214	122	447
215	122	446
216	123	444
217	123	442
218	123	441
219	124	439
220	124	438
221	124	436
222	124	435
223	125	433
224	125	432
225	125	430
226	126	429
227	126	427
228	126	426
229	126	424
230	127	422
231	127	421
232	127	419
